"VehicleId,TSPCode,TSPVehicleId,VIN,WeightClass"
"2357,TTC,67779,1HTSCAAM8YH215097,Truck"
"2358,TTC,67780,1FVABSAK63HL75430,Truck"
"2359,TTC,67781,1FVABSAK43HK56789,Truck"
"2360,TTC,67782,1HTSCAAM8YH215097,Truck"
"2361,TTC,67783,1FDWE35P04HA72869,Truck"
"2362,TTC,67784,1FVABSAK03HK56790,Truck"
"2363,TTC,67785,1HTSDAAL41H376914,Truck"
"2364,TTC,67786,1FVABSAK83HK56794,Truck"
"2365,TTC,67787,1FDWE35P04HA72869,Truck"
"2366,TTC,67788,1FVABSAK03HK56787,Truck"
"2367,TTC,67789,1FDWF36F91EC61195,Truck"
"2368,TTC,67790,1FVABSAK03HK56790,Truck"
"2369,TTC,67791,1HTSCAAL1YH301343,Truck"
"2370,TTC,67792,1FVACWDC16HV26834,Truck"
"2371,TTC,67793,1HTSDAAM5YH264240,Truck"
"2372,TTC,67794,1HTSCAAM8YH215097,Truck"
"2373,TTC,67795,1HTSDAAL41H376914,Truck"
"2374,TTC,67796,1FV6HLAC5WH919892,Truck"
"2375,TTC,67797,1HTSDAAM5YH264240,Truck"
"2376,TTC,67798,1HTSCAAM21H342854,Truck"
"2377,TTC,67799,1FVABSAK93HK56786,Truck"
"2378,TTC,67800,1HTSCAAL0YH252670,Truck"
"2379,TTC,67801,246614,NULL"
"2380,TTC,67802,1FDWF36F91EC61195,Truck"
"2381,TTC,67803,1HTSCAAL6XH606268,Truck"
"2382,TTC,67804,1FVABSAK63HK56793,Truck"
"2383,TTC,67805,1HTSCAAL1WH548181,Truck"
"2384,TTC,67806,1HTSCAAN6YH273668,Truck"
"2385,TTC,67807,1HTSCAAL0YH252670,Truck"
"2386,TTC,67808,1FVABSAK43HK56792,Truck"
"2387,TTC,67809,1HTSDAAM8YH264247,Truck"
"2388,TTC,67810,1FVABSAK43HK56792,Truck"
"2389,TTC,67811,1HTSCAAM21H342854,Truck"
"2390,TTC,67812,1FVABSAK03HK56787,Truck"
"2391,TTC,68674,NULL,NULL"
"2392,TTC,69080,1XKDDV9X3XJ790433,NULL"
"2393,TTC,69081,1HTDVSNP1TH255569,NULL"
"2394,TTC,69082,2HSCUAPR08C651331,Truck"
"2395,TTC,69083,1XKWDBOX32R890570,NULL"
"2396,TTC,69084,2NKHHM6X9AM261217,Truck"
"2397,TTC,69085,1XKDDV9X3XJ790432,NULL"
"2398,TTC,69123,JALE5W16387300096,Truck"
"2399,TTC,69124,JA1E5B16377301691,NULL"
"2400,TTC,69125,JA1E5W16387300095,NULL"
"2401,TTC,69126,JA1E5B16377301688,NULL"
"2402,TTC,70284,1GCFG15X381113819,Car"
"2403,TTC,70428,1NXBU40E69Z045123,Car"
"2404,TTC,70429,1GCCS196348113548,Car"
"2405,TTC,70430,1GTFG25M4Y1226867,Car"
"2406,TTC,70431,1FTYR10D68PA76665,Car"
"2407,TTC,70432,19UUA66285A055731,Car"
"2408,TTC,70433,1GCFG15W111205704,Car"
"2409,TTC,70434,1GCFG15X641189206,Car"
"2410,TTC,70435,1GCC5196958115631,NULL"
"2411,TTC,70436,1GTCS19X38230901,NULL"
"2412,TTC,70437,1FTRE14292HB27554,Car"
"2413,TTC,70438,1FTRE14W36HA18306,Car"
"2414,TTC,70439,1GCFG25R6X1115330,Car"
"2415,TTC,70440,1GCHG35R211180441,Car"
"2416,TTC,70441,1GCEC14X77Z169240,Car"
"2417,TTC,70442,1GCHC23K38F186709,Car"
"2418,TTC,70443,1FTKR1ED8BPA47044,Car"
"2419,TTC,70444,JTDBU4EE2B9149713,Car"
"2420,TTC,70445,3NICB51D96L543044,NULL"
"2421,TTC,70446,1N6AD07U05C459940,Car"
"2422,TTC,70447,JTDBU4EE2B9160467,Car"
"2423,TTC,70448,1GCCS19H338116756,Car"
"2424,TTC,71468,1FUJA6CK09DAM0484,Truck"
"2425,TTC,71469,1FUJA6CK69DAM8542,Truck"
"2426,TTC,71470,1HTMMAAL9BH390043,Truck"
"2427,TTC,71471,1FUJA6CK2ADAM8185,Truck"
"2428,TTC,71472,JW6DEP1EXYM000310,Truck"
"2429,TTC,71473,1FUJA6CKX8DAB7806,Truck"
"2430,TTC,71474,1HTMMAAL7BH390042,Truck"
"2431,TTC,71475,1FUJA6CK59DAJ4768,Truck"
"2432,TTC,71476,1FUJA6CKX8DAB3187,Truck"
"2433,TTC,71480,1FUJA6CK79DAJ4769,Truck"
"2434,TTC,71481,1FUJA6CK18DAB3188,Truck"
"2435,TTC,72485,1GCFG15W0Y1173581,Car"
"2436,TTC,72486,1FTRE14L04HA84220,Car"
"2437,TTC,72487,1GTGG29UX71132602,Car"
"2438,TTC,72488,1J8GL48K66W236511,Car"
"2439,TTC,72888,NULL,NULL"
"2440,TTC,72891,NULL,NULL"
"2441,TTC,72892,NULL,NULL"
"2442,TTC,72893,189672,NULL"
"2443,TTC,72894,3GTEC14X26G147774,NULL"
"2444,TTC,72895,2GTEC19TX51327419,Car"
"2445,TTC,72896,3GTEC14X16G216969,NULL"
"2446,TTC,72898,NULL,NULL"
"2447,TTC,73404,4V4KC9GH27N484027,Truck"
"2448,TTC,73405,4V4NC9TJ14N356556,Truck"
"2449,TTC,73406,3FRXF75S15V109603,Truck"
"2450,TTC,73407,4V4ND2JJ2YN255457,Truck"
"2451,TTC,75086,NULL,NULL"
"2452,TTC,76461,1FTKR1EDXBPA33064,Car"
"2453,TTC,76462,1FTKR1ED1BPA49511,Car"
"2454,TTC,76766,258346,NULL"
"2455,TTC,76769,J8DM7A1NXJ3200721,Truck"
"2456,TTC,76770,1HTSDPCNXNH391179,Truck"
"2457,TTC,76775,J8DM7A1S4L3300239,Truck"
"2458,TTC,76776,J8DH6A1N9L3101072,Truck"
"2459,TTC,76781,1HTSDAAN5SH664203,Truck"
"2460,TTC,76782,1FV6HJAA3SL575862,NULL"
"2461,TTC,76786,1HTSDAAP0YH271266,Truck"
"2462,TTC,76787,1HTSDABNXYH268938,NULL"
"2463,TTC,76788,1HTSCAAN9SH633460,Truck"
"2464,TTC,76791,1HTSDAAN0RH593180,Truck"
"2465,TTC,76792,JALM7A1N0J3200016,Truck"
"2466,TTC,76793,C28796,NULL"
"2467,TTC,76794,D37601,NULL"
"2468,TTC,76961,4KLC4J1N39J800624,NULL"
"2469,TTC,76965,1GCHG35U161163092,Car"
"2470,TTC,76966,1FTSE34L75HB39972,Car"
"2471,TTC,76968,4KLC4J1N29J800663,NULL"
"2472,TTC,76970,1GCHG35U161163092,Car"
"2473,TTC,76974,1GCHG35U961135752,Car"
"2474,TTC,76980,2GCEC19T041166481,Car"
"2475,TTC,78806,160140,NULL"
"2476,TTC,78807,432623,NULL"
